faculty_id,section,subject,teaching_quality,subject_knowledge,punctuality,overall_feedback
1,A,Major Project,2,3,4,3
2,A,Maths,3,4,5,4
3,A,Data Analytics,4,5,2,3.7
4,A,Cloud Computing,5,1,3,3
5,A,Java Full Stack,1,2,3,2
6,B,Major Project,3,4,4,3.7
7,B,Maths,4,4,4,4
8,B,Data Analytics,5,3,2,3.3
9,B,Cloud Computing,5,3,3,3.7
10,B,Java Full Stack,2,3,4,3
11,C,Major Project,3,3,4,3.3
12,C,Maths,4,4,5,4.3
13,C,Data Analytics,3,5,2,3.3
14,C,Cloud Computing,4,2,3,3
15,C,Java Full Stack,2,4,3,3
16,D,Major Project,3,4,3,3.3
17,D,Maths,4,4,4,4
18,D,Data Analytics,5,5,4,4.7
19,D,Cloud Computing,5,2,3,3.3
20,D,Java Full Stack,3,3,3,3
21,E,Major Project,4,4,3,3.7
22,E,Maths,4,4,5,4.3
23,E,Data Analytics,5,5,4,4.7
24,E,Cloud Computing,5,3,3,3.7
25,E,Java Full Stack,4,3,4,3.7
